period,datapoints,assets,allocations,allocations_idr,pnl_percentage,pnl_idr,end_of_period_value
2023-09,180.0,NISP.JK,0.1,8152191.51,-4.8,-391589.99,7760601.52
2023-10,180.0,BNGA.JK,0.0,0.0,0,0.0,0.0
2023-10,180.0,CHIP.JK,0.9,87012293.57,8.25,7180626.17,94192919.74
2023-10,180.0,NISP.JK,0.1,9668032.62,-2.2,-212952.26,9455080.36
2023-10,180.0,NOBU.JK,0.0,0.0,0,-0.0,0.0
2023-11,180.0,BNGA.JK,0.0,0.0,0,-0.0,0.0
2023-11,180.0,CUAN.JK,0.9,93283200.09,67.3,62778267.36,156061467.45
2023-11,180.0,NISP.JK,0.1,10364800.01,9.17,950899.08,11315699.09
2023-12,180.0,CUAN.JK,0.9,150639449.89,49.17,74064396.2,224703846.08999997
2023-12,180.0,NISP.JK,0.1,16737716.65,-2.88,-482156.45,16255560.200000001
2023-01,365.0,BBNI.JK,0.0,0.0,0,-0.0,0.0
2023-01,365.0,BYAN.JK,0.9,90000000.0,-5.41,-4870588.24,85129411.76
2023-01,365.0,PNBN.JK,0.1,10000000.0,7.48,748299.32,10748299.32
2023-02,365.0,BYAN.JK,0.9,86289939.97,-3.4,-2930601.73,83359338.24
2023-02,365.0,PNBN.JK,0.1,9587771.11,-8.83,-846869.37,8740901.74
2023-03,365.0,PNBN.JK,0.1,9210024.0,-3.05,-280983.78,8929040.22
2023-03,365.0,TMAS.JK,0.9,82890215.98,-7.72,-6395850.0,76494365.98
2023-04,365.0,PNBN.JK,0.1,8542340.62,-21.35,-1823987.32,6718353.299999999
2023-04,365.0,TMAS.JK,0.9,76881065.58,-0.35,-266024.45,76615041.13
2023-05,365.0,BMRI.JK,0.1,8333339.44,-3.81,-317460.55,8015878.890000001
2023-05,365.0,TMAS.JK,0.9,75000054.99,-1.37,-1027398.01,73972656.97999999
2023-06,365.0,CHIP.JK,0.9,73789682.28,0.34,250134.52,74039816.8
2023-06,365.0,NISP.JK,0.1,8198853.59,15.61,1279821.05,9478674.64
2023-07,365.0,CHIP.JK,0.9,75166642.3,6.42,4824885.82,79991528.12
2023-07,365.0,NISP.JK,0.1,8351849.14,1.68,140367.21,8492216.35
2023-08,365.0,CHIP.JK,0.9,79635370.02,10.63,8466218.74,88101588.75999999
2023-08,365.0,NISP.JK,0.1,8848374.45,-7.44,-658143.55,8190230.899999999
2023-09,365.0,BJBR.JK,0.06,5777509.18,-1.68,-97100.99,5680408.1899999995
2023-09,365.0,BNGA.JK,0.0,0.0,0,-0.0,0.0
2023-09,365.0,CHIP.JK,0.9,86662637.69,21.19,18367305.3,105029942.99
2023-09,365.0,NISP.JK,0.04,3851672.79,-4.8,-185014.85,3666657.94
2023-09,365.0,PNBN.JK,0.0,0.0,0,-0.0,0.0
2023-10,365.0,CHIP.JK,0.9,102939308.21,8.25,8494991.45,111434299.66
2023-10,365.0,NISP.JK,0.1,11437700.91,-2.2,-251931.74,11185769.17
2023-11,365.0,BNGA.JK,0.0,0.0,0,-0.0,0.0
2023-11,365.0,CUAN.JK,0.9,110358061.95,67.3,74269406.62,184627468.57
2023-11,365.0,NISP.JK,0.1,12262006.88,9.17,1124954.76,13386961.64
2023-12,365.0,BNGA.JK,0.0,0.0,0,-0.0,0.0
2023-12,365.0,CUAN.JK,0.9,178212987.19,49.17,87621385.37,265834372.56
2023-12,365.0,NISP.JK,0.1,19801443.02,-2.88,-570411.94,19231031.08
