period,datapoints,assets,allocations,allocations_idr,pnl_percentage,pnl_idr,end_of_period_value
2023-02,180.0,BSIM.JK,0.0,0.0,0,0.0,74835141.89
2023-02,180.0,EURO.JK,0.9,81589328.56,-18.41,-15018931.13,74835141.89
2023-02,180.0,PNBN.JK,0.1,9065480.95,-8.83,-800736.49,74835141.89
2023-03,180.0,BSIM.JK,0.1,7483514.19,2.3,172034.81,62054940.6
2023-03,180.0,SINI.JK,0.9,67351627.7,-19.23,-12952236.1,62054940.6
2023-04,180.0,BSIM.JK,0.1,6205494.06,0.0,0.0,69131754.03
2023-04,180.0,CHIP.JK,0.9,55849446.54,12.67,7076813.43,69131754.03
2023-05,180.0,BSIM.JK,0.1,6913175.4,0.0,0.0,70492785.44
2023-05,180.0,CHIP.JK,0.9,62218578.63,2.19,1361031.41,70492785.44
2023-06,180.0,BSIM.JK,0.1,7049278.54,0.0,0.0,70707848.17999999
2023-06,180.0,CHIP.JK,0.9,63443506.9,0.34,215062.74,70707848.17999999
2023-06,180.0,NISP.JK,0.0,0.0,0,0.0,70707848.17999999
2023-07,180.0,CHIP.JK,0.9,63637063.36,6.42,4084811.5,74911496.39999999
2023-07,180.0,NISP.JK,0.1,7070784.82,1.68,118836.72,74911496.39999999
2023-08,180.0,BNGA.JK,0.0,0.0,0,0.0,81521915.07
2023-08,180.0,BSIM.JK,0.0,0.0,0,0.0,81521915.07
2023-08,180.0,CHIP.JK,0.9,67420346.76,10.63,7167611.62,81521915.07
2023-08,180.0,NISP.JK,0.1,7491149.64,-7.44,-557192.95,81521915.07
2023-09,180.0,CHIP.JK,0.9,73369723.56,21.19,15550001.11,96680326.19
2023-09,180.0,NISP.JK,0.1,8152191.51,-4.8,-391589.99,96680326.19
2023-10,180.0,BNGA.JK,0.0,0.0,0,0.0,103648000.1
2023-10,180.0,CHIP.JK,0.9,87012293.57,8.25,7180626.17,103648000.1
2023-10,180.0,NISP.JK,0.1,9668032.62,-2.2,-212952.26,103648000.1
2023-10,180.0,NOBU.JK,0.0,0.0,0,-0.0,103648000.1
2023-11,180.0,BNGA.JK,0.0,0.0,0,-0.0,167377166.54
2023-11,180.0,CUAN.JK,0.9,93283200.09,67.3,62778267.36,167377166.54
2023-11,180.0,NISP.JK,0.1,10364800.01,9.17,950899.08,167377166.54
2023-12,180.0,CUAN.JK,0.9,150639449.89,49.17,74064396.2,240959406.29
2023-12,180.0,NISP.JK,0.1,16737716.65,-2.88,-482156.45,240959406.29
2023-01,365.0,BBNI.JK,0.0,0.0,0,-0.0,95877711.08
2023-01,365.0,BYAN.JK,0.9,90000000.0,-5.41,-4870588.24,95877711.08
2023-01,365.0,PNBN.JK,0.1,10000000.0,7.48,748299.32,95877711.08
2023-02,365.0,BYAN.JK,0.9,86289939.97,-3.4,-2930601.73,92100239.98
2023-02,365.0,PNBN.JK,0.1,9587771.11,-8.83,-846869.37,92100239.98
2023-03,365.0,PNBN.JK,0.1,9210024.0,-3.05,-280983.78,85423406.2
2023-03,365.0,TMAS.JK,0.9,82890215.98,-7.72,-6395850.0,85423406.2
2023-04,365.0,PNBN.JK,0.1,8542340.62,-21.35,-1823987.32,83333394.43
2023-04,365.0,TMAS.JK,0.9,76881065.58,-0.35,-266024.45,83333394.43
2023-05,365.0,BMRI.JK,0.1,8333339.44,-3.81,-317460.55,81988535.87
2023-05,365.0,TMAS.JK,0.9,75000054.99,-1.37,-1027398.01,81988535.87
2023-06,365.0,CHIP.JK,0.9,73789682.28,0.34,250134.52,83518491.44
2023-06,365.0,NISP.JK,0.1,8198853.59,15.61,1279821.05,83518491.44
2023-07,365.0,CHIP.JK,0.9,75166642.3,6.42,4824885.82,88483744.47
2023-07,365.0,NISP.JK,0.1,8351849.14,1.68,140367.21,88483744.47
2023-08,365.0,CHIP.JK,0.9,79635370.02,10.63,8466218.74,96291819.66
2023-08,365.0,NISP.JK,0.1,8848374.45,-7.44,-658143.55,96291819.66
2023-09,365.0,BJBR.JK,0.06,5777509.18,-1.68,-97100.99,114377009.12
2023-09,365.0,BNGA.JK,0.0,0.0,0,-0.0,114377009.12
2023-09,365.0,CHIP.JK,0.9,86662637.69,21.19,18367305.3,114377009.12
2023-09,365.0,NISP.JK,0.04,3851672.79,-4.8,-185014.85,114377009.12
2023-09,365.0,PNBN.JK,0.0,0.0,0,-0.0,114377009.12
2023-10,365.0,CHIP.JK,0.9,102939308.21,8.25,8494991.45,122620068.83
2023-10,365.0,NISP.JK,0.1,11437700.91,-2.2,-251931.74,122620068.83
2023-11,365.0,BNGA.JK,0.0,0.0,0,-0.0,198014430.21
2023-11,365.0,CUAN.JK,0.9,110358061.95,67.3,74269406.62,198014430.21
2023-11,365.0,NISP.JK,0.1,12262006.88,9.17,1124954.76,198014430.21
2023-12,365.0,BNGA.JK,0.0,0.0,0,-0.0,285065403.64
2023-12,365.0,CUAN.JK,0.9,178212987.19,49.17,87621385.37,285065403.64
2023-12,365.0,NISP.JK,0.1,19801443.02,-2.88,-570411.94,285065403.64
