"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"15/05/2024","901,40","893,02","904,78","890,92","3,42B","0,99%"
"14/05/2024","892,58","895,20","898,78","891,01","3,24B","-0,33%"
"13/05/2024","895,55","887,55","897,21","885,36","4,27B","0,24%"
"08/05/2024","893,43","898,90","906,55","891,85","4,36B","-0,51%"
"07/05/2024","898,02","906,22","908,28","897,15","4,32B","-0,91%"
"06/05/2024","906,29","910,90","912,30","900,05","6,08B","0,33%"
"03/05/2024","903,33","904,15","908,31","894,89","6,48B","0,51%"
"02/05/2024","898,75","925,48","925,95","893,48","4,80B","-3,02%"
"01/05/2024","926,73","922,62","933,97","919,58","","0,00%"
"30/04/2024","926,73","922,62","933,97","919,58","5,80B","1,24%"
"29/04/2024","915,35","895,22","917,38","894,65","4,75B","1,84%"
"26/04/2024","898,78","919,45","921,89","898,78","4,50B","-2,68%"
"25/04/2024","923,49","929,79","931,81","920,62","3,72B","-0,84%"
"24/04/2024","931,35","931,16","936,67","924,88","5,02B","0,40%"
"23/04/2024","927,64","927,95","937,95","924,33","5,20B","0,67%"
"22/04/2024","921,46","922,77","926,69","912,32","4,07B","0,12%"
"19/04/2024","920,31","927,44","929,54","914,45","5,94B","-1,62%"
"18/04/2024","935,51","932,90","939,55","929,86","4,17B","0,77%"
"17/04/2024","928,35","943,30","946,71","928,35","5,13B","-0,75%"
"16/04/2024","935,34","928,68","947,27","924,96","8,00B","-2,95%"
"05/04/2024","963,73","965,73","970,61","963,49","2,77B","-0,42%"
"04/04/2024","967,77","954,85","968,67","954,78","3,27B","1,45%"
"03/04/2024","953,90","963,03","965,41","951,66","3,31B","-1,49%"
"02/04/2024","968,37","967,70","969,82","953,53","4,47B","-0,07%"
"01/04/2024","969,08","985,27","986,92","957,79","3,32B","-1,71%"
"28/03/2024","985,97","985,78","991,28","979,99","4,02B","-0,44%"
"27/03/2024","990,37","997,49","999,10","988,76","3,93B","-0,74%"
"26/03/2024","997,80","993,12","999,03","991,76","4,88B","-0,41%"
"25/03/2024","1.001,91","994,44","1.001,91","990,20","3,39B","0,52%"
"22/03/2024","996,74","992,41","997,24","990,58","3,74B","0,20%"
"21/03/2024","994,77","999,38","1.003,94","994,77","4,54B","0,19%"
"20/03/2024","992,93","989,97","995,32","988,12","7,90B","-0,42%"
"19/03/2024","997,15","997,57","1.004,03","996,14","4,85B","0,36%"
"18/03/2024","993,60","999,66","1.004,73","993,60","6,77B","-0,39%"
"15/03/2024","997,47","1.006,20","1.007,87","991,01","14,42B","-1,40%"
"14/03/2024","1.011,60","1.000,04","1.011,60","998,61","4,94B","0,81%"
"13/03/2024","1.003,48","1.009,18","1.009,61","999,94","4,41B","0,31%"
"08/03/2024","1.000,35","1.001,92","1.004,80","998,78","3,51B","0,38%"
"07/03/2024","996,56","996,01","1.000,61","993,85","8,53B","0,25%"
"06/03/2024","994,06","980,88","995,04","980,61","8,78B","1,45%"
"05/03/2024","979,88","986,29","987,72","979,30","3,84B","-0,21%"
"04/03/2024","981,95","989,42","990,45","979,79","7,06B","-0,60%"
"01/03/2024","987,90","990,48","992,88","981,24","4,13B","-0,21%"
"29/02/2024","989,93","996,85","998,06","986,28","9,35B","-0,73%"
"28/02/2024","997,25","994,16","999,31","990,87","9,81B","0,46%"
"27/02/2024","992,69","987,25","994,74","985,39","6,09B","0,11%"
"26/02/2024","991,60","990,33","994,28","986,72","3,43B","-0,26%"
"23/02/2024","994,16","999,65","1.001,65","988,87","3,97B","-0,83%"
"22/02/2024","1.002,51","1.005,33","1.008,34","1.000,13","3,46B","-0,59%"
"21/02/2024","1.008,41","1.009,39","1.012,28","997,44","5,26B","-0,24%"
"20/02/2024","1.010,87","1.003,57","1.010,87","1.001,90","3,99B","1,26%"
"19/02/2024","998,29","1.003,95","1.007,81","996,23","5,14B","-0,83%"
"16/02/2024","1.006,63","1.010,89","1.014,63","1.002,36","4,43B","0,33%"
"15/02/2024","1.003,32","1.016,24","1.017,38","1.003,32","5,88B","1,53%"
"13/02/2024","988,16","996,03","997,00","986,28","3,46B","-0,70%"
"12/02/2024","995,17","990,41","996,87","987,57","7,22B","1,22%"
"07/02/2024","983,14","984,47","986,94","981,41","2,81B","0,26%"
"06/02/2024","980,62","982,38","984,71","978,51","5,51B","0,53%"
"05/02/2024","975,49","984,36","985,44","975,49","5,35B","-0,93%"
"02/02/2024","984,67","981,69","984,67","975,46","3,59B","0,76%"
"01/02/2024","977,27","977,24","983,21","972,81","7,91B","0,31%"
"31/01/2024","974,22","976,40","981,20","972,59","6,27B","0,26%"
"30/01/2024","971,70","959,66","975,23","957,27","7,55B","1,02%"
"29/01/2024","961,92","953,67","961,92","952,36","7,60B","1,10%"
"26/01/2024","951,49","954,16","957,12","945,04","3,79B","-0,87%"
"25/01/2024","959,80","963,45","971,13","959,20","3,39B","-0,67%"
"24/01/2024","966,25","971,61","974,73","960,63","3,51B","-0,57%"
