ticker,industry
BISI.JK,Agricultural Inputs
BJBR.JK,Banks - Regional
BJTM.JK,Banks - Regional
BKDP.JK,Real Estate Services
BKSL.JK,Real Estate - Development
BKSW.JK,Banks - Regional
BLTA.JK,Marine Shipping
BLTZ.JK,Entertainment
BLUE.JK,Electronics & Computer Distribution
BMAS.JK,Banks - Regional
BMBL.JK,Education & Training Services
BMHS.JK,Medical Care Facilities
BMRI.JK,Banks - Regional
BMSR.JK,Conglomerates
BMTR.JK,Entertainment
BNBA.JK,Banks - Regional
BNBR.JK,Conglomerates
BNGA.JK,Banks - Regional
BNII.JK,Banks - Regional
BNLI.JK,Banks - Regional
BOBA.JK,Packaged Foods
BOGA.JK,Auto & Truck Dealerships
BOLA.JK,Entertainment
BOLT.JK,Tools & Accessories
BOSS.JK,Thermal Coal
BPFI.JK,Credit Services
BPII.JK,Asset Management
BPTR.JK,Rental & Leasing Services
BRAM.JK,Textile Manufacturing
BRIS.JK,Banks - Regional
BRMS.JK,Other Industrial Metals & Mining
BRNA.JK,Packaging & Containers
BRPT.JK,Chemicals
BSBK.JK,Real Estate - Development
BSDE.JK,Real Estate - Development
BSIM.JK,Banks - Regional
BSML.JK,Marine Shipping
BSSR.JK,Thermal Coal
BSWD.JK,Banks - Regional
BSWD.JK,
BTEK.JK,Farm Products
BTEL.JK,
BTON.JK,Steel
BTPN.JK,Banks - Regional
BTPS.JK,Banks - Regional
BUAH.JK,Food Distribution
BUDI.JK,Packaged Foods
BUKA.JK,Internet Retail
BUKK.JK,Engineering & Construction
BULL.JK,Marine Shipping
BUMI.JK,Thermal Coal
BUVA.JK,Lodging
BVIC.JK,Banks - Regional
BWPT.JK,Farm Products
BYAN.JK,Thermal Coal
CAKK.JK,Building Products & Equipment
CAMP.JK,Packaged Foods
CANI.JK,Marine Shipping
CARE.JK,Medical Care Facilities
CARS.JK,Auto & Truck Dealerships
CASA.JK,Insurance - Life
CASH.JK,Business Equipment & Supplies
CASS.JK,Airports & Air Services
CBMF.JK,"Furnishings, Fixtures & Appliances"
CBPE.JK,Real Estate - Development
CBRE.JK,Marine Shipping
CBUT.JK,Packaged Foods
CCSI.JK,Communication Equipment
CEKA.JK,Packaged Foods
CENT.JK,Telecom Services
CFIN.JK,Credit Services
CHEM.JK,Specialty Chemicals
CHIP.JK,Telecom Services
CINT.JK,"Furnishings, Fixtures & Appliances"
CITA.JK,Other Industrial Metals & Mining
CITY.JK,Real Estate - Development
CLAY.JK,Lodging
CLEO.JK,Beverages - Non-Alcoholic
CLPI.JK,Specialty Chemicals
CMNP.JK,Infrastructure Operations
CMNT.JK,Building Materials
CMPP.JK,Airlines
CMRY.JK,Packaged Foods
CNKO.JK,Thermal Coal
CNMA.JK,Entertainment
CNTX.JK,Textile Manufacturing
COAL.JK,Thermal Coal
COCO.JK,Confectioners
COWL.JK,
CPIN.JK,Farm Products
CPRI.JK,Real Estate - Diversified
CPRO.JK,Farm Products
CRAB.JK,Packaged Foods
CRSN.JK,Specialty Business Services
CSAP.JK,Industrial Distribution
CSIS.JK,Real Estate - Development
CSMI.JK,Restaurants
CSRA.JK,Farm Products
CTBN.JK,Oil & Gas Equipment & Services
CTRA.JK,Real Estate - Development
CTTH.JK,Building Materials
CUAN.JK,Other Industrial Metals & Mining
CYBR.JK,Software - Infrastructure
DADA.JK,Real Estate Services
DART.JK,Real Estate Services
DAYA.JK,Specialty Retail
DCII.JK,Information Technology Services
DEAL.JK,Integrated Freight & Logistics
DEFI.JK,Credit Services
DEPO.JK,Home Improvement Retail
DEWA.JK,Thermal Coal
DEWI.JK,Farm Products
DFAM.JK,Real Estate Services
DGIK.JK,Engineering & Construction
DGNS.JK,Diagnostics & Research
DIGI.JK,Internet Content & Information
DILD.JK,Real Estate - Development
DIVA.JK,Software - Application
DKFT.JK,Other Industrial Metals & Mining
DLTA.JK,Beverages - Brewers
DMAS.JK,Real Estate - Development
DMMX.JK,Advertising Agencies
DMND.JK,Packaged Foods
DNAR.JK,Banks - Regional
DNET.JK,Telecom Services
DOID.JK,Thermal Coal
DOOH.JK,Advertising Agencies
DPNS.JK,Specialty Chemicals
DPUM.JK,Packaged Foods
DRMA.JK,Auto Parts
DSFI.JK,Farm Products
DSNG.JK,Farm Products
DSSA.JK,Thermal Coal
DUCK.JK,Restaurants
DUTI.JK,Real Estate - Development
DVLA.JK,Drug Manufacturers - Specialty & Generic
DWGL.JK,Thermal Coal
DYAN.JK,Entertainment
EAST.JK,Lodging
ECII.JK,Specialty Retail
EDGE.JK,Information Technology Services
EKAD.JK,Specialty Chemicals
ELIT.JK,Information Technology Services
ELPI.JK,Marine Shipping
ELSA.JK,Oil & Gas Equipment & Services
ELTY.JK,Real Estate Services
EMDE.JK,Real Estate Services
EMTK.JK,Broadcasting
ENAK.JK,Restaurants
ENRG.JK,Oil & Gas E&P
ENVY.JK,Information Technology Services
ENZO.JK,Packaged Foods
EPAC.JK,Packaging & Containers
EPMT.JK,Medical Distribution
ERAA.JK,Specialty Retail
ERAL.JK,Specialty Retail
ERTX.JK,Apparel Manufacturing
ESIP.JK,Packaging & Containers
ESSA.JK,Oil & Gas Refining & Marketing
ESTA.JK,Lodging
ESTI.JK,Textile Manufacturing
ETWA.JK,Chemicals
EURO.JK,Household & Personal Products
EXCL.JK,Telecom Services
FAPA.JK,Farm Products
FAST.JK,Restaurants
FASW.JK,Packaging & Containers
FILM.JK,Entertainment
FIMP.JK,Engineering & Construction
