ticker,industry
VICI.JK,Household & Personal Products
VICO.JK,Asset Management
VINS.JK,Insurance - Property & Casualty
VINS.JK,Insurance—Property & Casualty
VIVA.JK,Broadcasting
VKTR.JK,Recreational Vehicles
VOKS.JK,Electrical Equipment & Parts
VRNA.JK,Credit Services
VTNY.JK,Staffing & Employment Services
WAPO.JK,Packaged Foods
WEGE.JK,Engineering & Construction
WEHA.JK,Railroads
WGSH.JK,Software—Infrastructure
WGSH.JK,Software - Infrastructure
WICO.JK,Food Distribution
WIDI.JK,Rental & Leasing Services
WIFI.JK,Information Technology Services
WIIM.JK,Tobacco
WIKA.JK,Engineering & Construction
WINE.JK,Beverages—Wineries & Distilleries
WINE.JK,Beverages - Wineries & Distilleries
WINR.JK,Real Estate - Development
WINR.JK,Real Estate—Development
WINS.JK,Marine Shipping
WIRG.JK,Information Technology Services
WMPP.JK,Conglomerates
WMUU.JK,Farm Products
WOMF.JK,Credit Services
WOOD.JK,"Furnishings, Fixtures & Appliances"
WOWS.JK,Oil & Gas Equipment & Services
WSBP.JK,Building Materials
WSKT.JK,Engineering & Construction
WTON.JK,Building Materials
YELO.JK,Travel Services
YPAS.JK,Packaging & Containers
YULE.JK,Capital Markets
ZATA.JK,Apparel Retail
ZBRA.JK,Medical Distribution
ZINC.JK,Other Industrial Metals & Mining
ZONE.JK,Apparel Retail
ZYRX.JK,Computer Hardware
