ticker,month,monthly_return_percentage
MAYA.JK,2023-03,-3.8461538461538463
MAYA.JK,2023-04,-0.9900990099009901
MAYA.JK,2023-05,-0.4048582995951417
MAYA.JK,2023-06,-4.081632653061225
MAYA.JK,2023-07,9.110169491525424
MAYA.JK,2023-08,-4.0
MAYA.JK,2023-09,0.0
MAYA.JK,2023-10,-4.583333333333333
MAYA.JK,2023-11,-9.649122807017543
MAYA.JK,2023-12,9.134615384615383
BCAP.JK,2023-01,-11.25
BCAP.JK,2023-02,-7.042253521126761
BCAP.JK,2023-03,-5.970149253731343
BCAP.JK,2023-04,-6.349206349206349
BCAP.JK,2023-05,-5.172413793103448
BCAP.JK,2023-06,0.0
BCAP.JK,2023-07,5.357142857142857
BCAP.JK,2023-08,-1.7543859649122806
BCAP.JK,2023-09,-7.142857142857142
BCAP.JK,2023-10,2.0
BCAP.JK,2023-11,0.0
BCAP.JK,2023-12,-1.9607843137254901
FUJI.JK,2023-01,-57.758620689655174
FUJI.JK,2023-02,26.486486486486488
FUJI.JK,2023-03,-7.563025210084033
FUJI.JK,2023-04,4.838709677419355
FUJI.JK,2023-05,25.40983606557377
FUJI.JK,2023-06,-14.838709677419354
FUJI.JK,2023-07,10.15625
FUJI.JK,2023-08,-10.714285714285714
FUJI.JK,2023-09,-1.6
FUJI.JK,2023-10,16.27906976744186
FUJI.JK,2023-11,0.6993006993006993
FUJI.JK,2023-12,-4.285714285714286
MOLI.JK,2023-01,-3.8461538461538463
MOLI.JK,2023-02,-5.5
MOLI.JK,2023-03,-26.262626262626267
MOLI.JK,2023-04,-6.61764705882353
MOLI.JK,2023-05,9.774436090225564
MOLI.JK,2023-06,41.891891891891895
MOLI.JK,2023-07,7.6190476190476195
MOLI.JK,2023-08,65.78947368421053
MOLI.JK,2023-09,2.2222222222222223
MOLI.JK,2023-10,18.435754189944134
MOLI.JK,2023-11,-3.723404255319149
MOLI.JK,2023-12,5.617977528089887
OILS.JK,2023-01,0.9615384615384616
OILS.JK,2023-02,-6.730769230769231
OILS.JK,2023-03,-5.05050505050505
OILS.JK,2023-04,-20.0
OILS.JK,2023-05,2.684563758389262
OILS.JK,2023-06,1.948051948051948
OILS.JK,2023-07,7.643312101910828
OILS.JK,2023-08,-6.547619047619048
OILS.JK,2023-09,-8.333333333333332
OILS.JK,2023-10,0.0
OILS.JK,2023-11,0.0
OILS.JK,2023-12,-2.9197080291970803
SCMA.JK,2023-01,8.653846153846153
SCMA.JK,2023-02,-7.6923076923076925
SCMA.JK,2023-03,-12.149532710280374
SCMA.JK,2023-04,-11.76470588235294
SCMA.JK,2023-05,-14.285714285714285
SCMA.JK,2023-06,16.546762589928058
SCMA.JK,2023-07,-3.7037037037037033
SCMA.JK,2023-08,3.4965034965034967
SCMA.JK,2023-09,3.2679738562091507
SCMA.JK,2023-10,-3.205128205128205
SCMA.JK,2023-11,5.369127516778524
SCMA.JK,2023-12,11.11111111111111
BCIC.JK,2023-01,-32.804232804232804
BCIC.JK,2023-02,-6.299212598425196
BCIC.JK,2023-03,-6.722689075630252
BCIC.JK,2023-04,-5.5045871559633035
BCIC.JK,2023-05,-7.6923076923076925
BCIC.JK,2023-06,10.416666666666668
BCIC.JK,2023-07,5.660377358490567
BCIC.JK,2023-08,25.0
BCIC.JK,2023-09,-12.025316455696203
BCIC.JK,2023-10,-11.678832116788321
BCIC.JK,2023-11,0.7936507936507936
BCIC.JK,2023-12,-9.774436090225564
TRIO.JK,2023-01,0.0
TRIO.JK,2023-02,0.0
TRIO.JK,2023-03,0.0
TRIO.JK,2023-04,0.0
TRIO.JK,2023-05,0.0
TRIO.JK,2023-06,0.0
TRIO.JK,2023-07,0.0
TRIO.JK,2023-08,0.0
TRIO.JK,2023-09,0.0
TRIO.JK,2023-10,0.0
TRIO.JK,2023-11,0.0
TRIO.JK,2023-12,0.0
BESS.JK,2023-01,18.823529411764707
BESS.JK,2023-02,-10.106382978723403
BESS.JK,2023-03,-2.9940119760479043
BESS.JK,2023-04,-1.2422360248447204
BESS.JK,2023-05,-4.430379746835443
BESS.JK,2023-06,0.0
BESS.JK,2023-07,2.013422818791946
BESS.JK,2023-08,19.205298013245034
BESS.JK,2023-09,-8.522727272727272
BESS.JK,2023-10,-4.3478260869565215
BESS.JK,2023-11,0.0
BESS.JK,2023-12,39.473684210526315
WMUU.JK,2023-01,-21.25
WMUU.JK,2023-02,-15.873015873015872
WMUU.JK,2023-03,-1.9230769230769231
WMUU.JK,2023-04,-1.9607843137254901
WMUU.JK,2023-05,0.0
WMUU.JK,2023-06,0.0
WMUU.JK,2023-07,0.0
WMUU.JK,2023-08,0.0
WMUU.JK,2023-09,0.0
WMUU.JK,2023-10,0.0
WMUU.JK,2023-11,0.0
WMUU.JK,2023-12,0.0
URBN.JK,2023-01,-22.941176470588236
URBN.JK,2023-02,-12.213740458015266
URBN.JK,2023-03,7.758620689655173
URBN.JK,2023-04,-5.511811023622047
URBN.JK,2023-05,-7.199999999999999
URBN.JK,2023-06,7.627118644067797
URBN.JK,2023-07,-7.874015748031496
URBN.JK,2023-08,3.389830508474576
URBN.JK,2023-09,2.479338842975207
URBN.JK,2023-10,21.428571428571427
URBN.JK,2023-11,2.6143790849673203
URBN.JK,2023-12,-2.5974025974025974
PSKT.JK,2023-01,6.0606060606060606
PSKT.JK,2023-02,-8.695652173913043
PSKT.JK,2023-03,-6.349206349206349
PSKT.JK,2023-04,-15.625
PSKT.JK,2023-05,-7.4074074074074066
PSKT.JK,2023-06,0.0
PSKT.JK,2023-07,0.0
PSKT.JK,2023-08,0.0
PSKT.JK,2023-09,0.0
PSKT.JK,2023-10,0.0
PSKT.JK,2023-11,0.0
PSKT.JK,2023-12,0.0
IPTV.JK,2023-01,-7.575757575757576
IPTV.JK,2023-02,-10.0
IPTV.JK,2023-03,-9.090909090909092
IPTV.JK,2023-04,0.0
IPTV.JK,2023-05,0.0
IPTV.JK,2023-06,0.0
IPTV.JK,2023-07,0.0
IPTV.JK,2023-08,10.0
IPTV.JK,2023-09,-5.660377358490567
IPTV.JK,2023-10,6.0
IPTV.JK,2023-11,-1.9607843137254901
IPTV.JK,2023-12,0.0
BUMI.JK,2023-01,-4.968944099378882
BUMI.JK,2023-02,-12.258064516129032
BUMI.JK,2023-03,-5.223880597014925
BUMI.JK,2023-04,-7.633587786259542
BUMI.JK,2023-05,-16.52173913043478
BUMI.JK,2023-06,6.481481481481481
BUMI.JK,2023-07,8.47457627118644
BUMI.JK,2023-08,6.976744186046512
BUMI.JK,2023-09,-2.8368794326241136
BUMI.JK,2023-10,-16.911764705882355
BUMI.JK,2023-11,-4.672897196261682
BUMI.JK,2023-12,-14.14141414141414
PADA.JK,2023-01,-30.74074074074074
PADA.JK,2023-02,-49.11504424778761
PADA.JK,2023-03,-7.563025210084033
PADA.JK,2023-04,18.34862385321101
PADA.JK,2023-05,-9.917355371900827
PADA.JK,2023-06,-11.0
PADA.JK,2023-07,-43.82022471910113
PADA.JK,2023-08,0.0
PADA.JK,2023-09,0.0
PADA.JK,2023-10,0.0
PADA.JK,2023-11,0.0
PADA.JK,2023-12,0.0
CITY.JK,2023-01,-33.098591549295776
CITY.JK,2023-02,-10.0
CITY.JK,2023-03,16.853932584269664
CITY.JK,2023-04,-31.958762886597935
CITY.JK,2023-05,-4.838709677419355
CITY.JK,2023-06,-13.559322033898304
CITY.JK,2023-07,0.0
CITY.JK,2023-08,-1.9607843137254901
CITY.JK,2023-09,0.0
CITY.JK,2023-10,66.0
CITY.JK,2023-11,40.0
CITY.JK,2023-12,-43.75
VOKS.JK,2023-01,-2.112676056338028
VOKS.JK,2023-02,18.115942028985508
VOKS.JK,2023-03,15.151515151515152
VOKS.JK,2023-04,2.6881720430107525
VOKS.JK,2023-05,3.1088082901554404
VOKS.JK,2023-06,-1.5789473684210527
VOKS.JK,2023-07,8.51063829787234
VOKS.JK,2023-08,-1.9801980198019802
VOKS.JK,2023-09,-0.5025125628140703
VOKS.JK,2023-10,-3.4653465346534658
VOKS.JK,2023-11,3.684210526315789
VOKS.JK,2023-12,11.11111111111111
DGIK.JK,2023-01,4.0650406504065035
DGIK.JK,2023-02,-2.3255813953488373
DGIK.JK,2023-03,-3.968253968253968
DGIK.JK,2023-04,14.049586776859504
DGIK.JK,2023-05,-7.6923076923076925
DGIK.JK,2023-06,-2.2556390977443606
DGIK.JK,2023-07,-13.846153846153847
DGIK.JK,2023-08,0.0
DGIK.JK,2023-09,-5.3097345132743365
DGIK.JK,2023-10,-22.115384615384613
DGIK.JK,2023-11,3.75
DGIK.JK,2023-12,15.66265060240964
IPPE.JK,2023-01,-53.65853658536586
IPPE.JK,2023-02,-3.7037037037037033
IPPE.JK,2023-03,-1.9607843137254901
IPPE.JK,2023-04,0.0
IPPE.JK,2023-05,0.0
IPPE.JK,2023-06,0.0
IPPE.JK,2023-07,0.0
IPPE.JK,2023-08,0.0
IPPE.JK,2023-09,0.0
IPPE.JK,2023-10,0.0
IPPE.JK,2023-11,0.0
IPPE.JK,2023-12,0.0
KKES.JK,2023-01,-18.69918699186992
KKES.JK,2023-02,2.941176470588235
KKES.JK,2023-03,-4.587155963302752
KKES.JK,2023-04,-14.423076923076922
KKES.JK,2023-05,-21.0
KKES.JK,2023-06,-13.580246913580247
